epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1478.09,0.00579,0.0909,0.66202,0.98225,0.97966,0.99315,0.7994,0.00554,0.08021,0.59535,0.0008318,0.0008318,0.0008318
61,1501.53,0.00565,0.09074,0.66126,0.9898,0.98725,0.99373,0.79566,0.00551,0.07576,0.59893,0.000812,0.000812,0.000812
62,1524.96,0.0056,0.08856,0.65878,0.98311,0.98659,0.99424,0.79978,0.00553,0.07352,0.59861,0.0007922,0.0007922,0.0007922
63,1548.41,0.00553,0.08818,0.65972,0.99317,0.98615,0.99424,0.78915,0.00553,0.07449,0.59581,0.0007724,0.0007724,0.0007724
64,1571.64,0.00565,0.08906,0.65971,0.9798,0.98648,0.9941,0.78859,0.00552,0.07519,0.59581,0.0007526,0.0007526,0.0007526
65,1595.01,0.00559,0.08747,0.65655,0.98807,0.98276,0.99401,0.79745,0.00544,0.0722,0.59024,0.0007328,0.0007328,0.0007328
66,1618.06,0.0056,0.08755,0.65888,0.98499,0.98305,0.99411,0.79374,0.0054,0.07085,0.58732,0.000713,0.000713,0.000713
67,1641.13,0.00557,0.08639,0.65787,0.97654,0.98765,0.99387,0.80184,0.0054,0.07346,0.5893,0.0006932,0.0006932,0.0006932
68,1664.24,0.0055,0.08606,0.6574,0.9835,0.98475,0.99397,0.80502,0.00534,0.07207,0.5885,0.0006734,0.0006734,0.0006734
69,1687.63,0.00549,0.08577,0.65192,0.98968,0.97503,0.99315,0.8077,0.00541,0.07006,0.58946,0.0006536,0.0006536,0.0006536
70,1711.13,0.00548,0.08586,0.6526,0.98795,0.98644,0.99431,0.79834,0.00549,0.07161,0.59145,0.0006338,0.0006338,0.0006338
71,1734.75,0.00553,0.08611,0.65194,0.98477,0.98644,0.99363,0.80109,0.00537,0.07184,0.58287,0.000614,0.000614,0.000614
72,1758.28,0.00555,0.08728,0.6532,0.98477,0.98623,0.99429,0.80628,0.00541,0.06975,0.58849,0.0005942,0.0005942,0.0005942
73,1781.76,0.00538,0.08354,0.65074,0.98814,0.98818,0.99438,0.80109,0.00534,0.06909,0.58563,0.0005744,0.0005744,0.0005744
74,1805,0.00547,0.0848,0.65475,0.98641,0.98384,0.99442,0.80462,0.00536,0.07137,0.58972,0.0005546,0.0005546,0.0005546
75,1828.06,0.00539,0.08402,0.64828,0.97988,0.99049,0.99338,0.80274,0.00536,0.06825,0.59118,0.0005348,0.0005348,0.0005348
76,1851.14,0.00542,0.08348,0.65069,0.988,0.98475,0.99336,0.79909,0.00536,0.06903,0.59077,0.000515,0.000515,0.000515
77,1874.26,0.00539,0.08248,0.64653,0.98981,0.98825,0.9945,0.81179,0.00532,0.06833,0.58374,0.0004952,0.0004952,0.0004952
78,1897.23,0.00538,0.082,0.64239,0.98937,0.98983,0.99439,0.79992,0.00538,0.0698,0.58708,0.0004754,0.0004754,0.0004754
79,1920.59,0.00536,0.0837,0.64504,0.99006,0.98475,0.99381,0.80488,0.0053,0.06964,0.58459,0.0004556,0.0004556,0.0004556
80,1943.71,0.00532,0.08261,0.64313,0.987,0.98644,0.99435,0.81164,0.00531,0.06585,0.58901,0.0004358,0.0004358,0.0004358
81,1967.32,0.00528,0.08014,0.64457,0.99427,0.98983,0.99467,0.81482,0.00529,0.06692,0.58354,0.000416,0.000416,0.000416
82,1990.75,0.00527,0.0823,0.64031,0.99327,0.98983,0.99467,0.81144,0.00539,0.06765,0.58833,0.0003962,0.0003962,0.0003962
83,10096.3,0.00529,0.07936,0.6426,0.9932,0.98983,0.99462,0.81363,0.00532,0.0661,0.58786,0.0003764,0.0003764,0.0003764
84,10122.6,0.00522,0.08017,0.63864,0.99133,0.98814,0.99432,0.81713,0.00529,0.06612,0.58628,0.0003566,0.0003566,0.0003566
85,10151.2,0.00531,0.08042,0.64251,0.99488,0.98773,0.99474,0.81579,0.00532,0.06545,0.58518,0.0003368,0.0003368,0.0003368
86,10178.9,0.00535,0.08053,0.6438,0.99154,0.99299,0.99465,0.81235,0.00531,0.06724,0.58781,0.000317,0.000317,0.000317
87,10207,0.00525,0.07945,0.64327,0.9882,0.99318,0.99421,0.81318,0.0053,0.06508,0.58962,0.0002972,0.0002972,0.0002972
88,10237.9,0.00516,0.07755,0.63572,0.99045,0.98983,0.99473,0.81285,0.00534,0.06596,0.59299,0.0002774,0.0002774,0.0002774
