epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,1415.47,0.00594,0.0969,0.6725,0.98474,0.98444,0.99389,0.78429,0.00566,0.07582,0.60366,0.0008318,0.0008318,0.0008318
61,1439.55,0.00579,0.09556,0.67213,0.981,0.98644,0.99373,0.77431,0.00569,0.07659,0.61032,0.000812,0.000812,0.000812
62,1462.9,0.00573,0.09367,0.6686,0.98138,0.98249,0.99363,0.78559,0.00555,0.07858,0.60071,0.0007922,0.0007922,0.0007922
63,1486.94,0.00568,0.09369,0.66952,0.98,0.98305,0.99381,0.78048,0.00557,0.07744,0.59973,0.0007724,0.0007724,0.0007724
64,1510.63,0.00587,0.09402,0.67458,0.98975,0.98185,0.99362,0.77912,0.00561,0.07568,0.60338,0.0007526,0.0007526,0.0007526
65,1534.33,0.00577,0.09323,0.6691,0.98982,0.97966,0.99411,0.78446,0.0056,0.07445,0.60289,0.0007328,0.0007328,0.0007328
66,1558.22,0.00579,0.09312,0.67117,0.97741,0.98644,0.994,0.77313,0.00565,0.0822,0.60523,0.000713,0.000713,0.000713
67,1581.8,0.0058,0.09266,0.67078,0.98294,0.97671,0.99286,0.78916,0.0055,0.07567,0.59679,0.0006932,0.0006932,0.0006932
68,1605.59,0.00567,0.09065,0.66661,0.98639,0.98302,0.99364,0.7818,0.00557,0.074,0.60086,0.0006734,0.0006734,0.0006734
69,1632.07,0.00563,0.09093,0.66348,0.97815,0.98634,0.99364,0.78726,0.00556,0.07276,0.60264,0.0006536,0.0006536,0.0006536
70,1659.82,0.00567,0.09182,0.66508,0.98286,0.97167,0.99326,0.78127,0.00562,0.07401,0.60169,0.0006338,0.0006338,0.0006338
71,1687.59,0.00576,0.09272,0.66414,0.98811,0.98558,0.9943,0.78912,0.00553,0.07128,0.59812,0.000614,0.000614,0.000614
72,1714.99,0.00568,0.0922,0.66164,0.98848,0.97966,0.99377,0.78698,0.00564,0.07216,0.60743,0.0005942,0.0005942,0.0005942
73,1741.24,0.00553,0.08864,0.66301,0.99169,0.97966,0.9939,0.78921,0.00551,0.0719,0.60105,0.0005744,0.0005744,0.0005744
74,1768.39,0.00558,0.08941,0.66419,0.98582,0.98983,0.99426,0.79302,0.00546,0.07096,0.60125,0.0005546,0.0005546,0.0005546
75,1793.56,0.00554,0.08832,0.65999,0.99071,0.98305,0.99413,0.78138,0.00554,0.07658,0.6033,0.0005348,0.0005348,0.0005348
76,1817.61,0.00552,0.08898,0.65988,0.99287,0.97966,0.99426,0.78198,0.00553,0.07233,0.60246,0.000515,0.000515,0.000515
77,1846.52,0.00557,0.08865,0.66139,0.98313,0.98766,0.99435,0.7902,0.00549,0.07398,0.59786,0.0004952,0.0004952,0.0004952
78,1873.71,0.00548,0.08687,0.65183,0.98613,0.98983,0.99447,0.78639,0.00551,0.0703,0.59571,0.0004754,0.0004754,0.0004754
79,1900.6,0.00552,0.08787,0.65518,0.98064,0.99153,0.99438,0.79465,0.00542,0.07208,0.59286,0.0004556,0.0004556,0.0004556
80,1926.8,0.00547,0.08748,0.65181,0.9898,0.98667,0.99429,0.79153,0.00543,0.06965,0.59599,0.0004358,0.0004358,0.0004358
81,1952.86,0.00541,0.08448,0.6526,0.98342,0.99153,0.99426,0.79276,0.00541,0.07162,0.59267,0.000416,0.000416,0.000416
82,1980.3,0.00539,0.08584,0.64943,0.99184,0.98305,0.9943,0.79471,0.00551,0.06888,0.59452,0.0003962,0.0003962,0.0003962
83,2007.7,0.00543,0.08311,0.65287,0.98729,0.98814,0.99407,0.7947,0.00548,0.06932,0.59808,0.0003764,0.0003764,0.0003764
84,2033.97,0.00537,0.08489,0.65062,0.98893,0.98983,0.99451,0.79818,0.00544,0.06881,0.59699,0.0003566,0.0003566,0.0003566
85,2059.28,0.00545,0.08581,0.65313,0.9881,0.9848,0.99434,0.7938,0.00549,0.06906,0.59664,0.0003368,0.0003368,0.0003368
86,2086.26,0.00544,0.08511,0.6528,0.992,0.98305,0.99438,0.79423,0.00542,0.06927,0.59171,0.000317,0.000317,0.000317
87,2114.46,0.00532,0.08399,0.64938,0.98983,0.98981,0.9945,0.79483,0.0054,0.06782,0.59522,0.0002972,0.0002972,0.0002972
88,2139.97,0.00528,0.08207,0.64433,0.98813,0.98764,0.99447,0.80059,0.00542,0.06728,0.59766,0.0002774,0.0002774,0.0002774
89,2163.77,0.00533,0.08366,0.64865,0.99271,0.98644,0.99443,0.80556,0.00532,0.06588,0.59052,0.0002576,0.0002576,0.0002576
90,2187.67,0.00523,0.08143,0.64348,0.98976,0.98814,0.99449,0.79665,0.00538,0.06689,0.59376,0.0002378,0.0002378,0.0002378
91,2223.37,0.00545,0.08257,0.65422,0.98518,0.98305,0.99387,0.79248,0.00542,0.07079,0.59431,0.000218,0.000218,0.000218
92,2246.68,0.00537,0.07754,0.64366,0.98293,0.98644,0.99412,0.7988,0.00533,0.06987,0.592,0.0001982,0.0001982,0.0001982
93,2269.94,0.00539,0.07826,0.64673,0.98643,0.98538,0.99403,0.79406,0.00536,0.06959,0.59191,0.0001784,0.0001784,0.0001784
94,2293.67,0.00525,0.0752,0.64249,0.98425,0.98814,0.99434,0.79741,0.00532,0.06985,0.59351,0.0001586,0.0001586,0.0001586
95,2316.92,0.00519,0.07343,0.63926,0.98315,0.98903,0.99439,0.79892,0.00531,0.06845,0.5921,0.0001388,0.0001388,0.0001388
96,2340.36,0.0052,0.07335,0.6376,0.98476,0.98538,0.99437,0.79454,0.00538,0.06983,0.5961,0.000119,0.000119,0.000119
97,2362.56,0.00529,0.07462,0.64098,0.98142,0.98983,0.99451,0.80106,0.00534,0.06882,0.59492,9.92e-05,9.92e-05,9.92e-05
98,2384.9,0.00514,0.07291,0.6389,0.98226,0.98983,0.99447,0.80208,0.00533,0.06831,0.59401,7.94e-05,7.94e-05,7.94e-05
99,2408.09,0.00521,0.07322,0.63702,0.98978,0.9852,0.99446,0.79752,0.00533,0.06811,0.59474,5.96e-05,5.96e-05,5.96e-05
100,2431.68,0.00521,0.07309,0.6385,0.98815,0.98903,0.99447,0.80169,0.00534,0.06808,0.59614,3.98e-05,3.98e-05,3.98e-05
